247_index,rivals_index,ID,playerName,college,city,state,highSchool,position,year,sum
146,1982,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
147,3746,1,1.0,1.0,0.0,1,1.0,0,1,0.7142857142857143
148,4700,1,1.0,1.0,0.23076923076923073,1,0.5833333333333333,0,1,0.6877289377289377
149,522,0,0.0,1.0,1.0,1,1.0,0,1,0.7142857142857143
149,3727,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
150,998,0,0.875,1.0,1.0,1,1.0,1,1,0.9821428571428571
151,5785,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
152,1714,1,1.0,1.0,1.0,1,1.0,1,1,1.0
153,5306,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
154,522,1,1.0,1.0,1.0,1,1.0,1,1,1.0
154,3727,0,0.0,1.0,1.0,1,1.0,0,1,0.7142857142857143
155,2773,1,1.0,1.0,1.0,1,1.0,1,1,1.0
156,4202,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
157,4369,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
158,5018,1,1.0,1.0,1.0,1,1.0,1,1,1.0
159,234,0,0.07692307692307687,1.0,1.0,1,1.0,0,1,0.7252747252747253
159,1804,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
160,234,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
160,1804,0,0.07692307692307687,1.0,1.0,1,1.0,0,1,0.7252747252747253
161,41,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
162,5088,1,1.0,1.0,1.0,1,0.9375,0,1,0.8482142857142857
163,37,1,1.0,1.0,1.0,1,1.0,1,1,1.0
164,1821,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
165,4340,1,1.0,1.0,1.0,1,1.0,1,1,1.0
166,444,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
167,2642,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
168,5707,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
169,695,1,1.0,1.0,1.0,1,1.0,1,1,1.0
170,2772,1,1.0,1.0,1.0,1,1.0,1,1,1.0
171,5520,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
173,4843,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
174,5710,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
175,3468,1,1.0,1.0,0.625,1,1.0,0,1,0.8035714285714286
177,71,1,1.0,1.0,1.0,1,1.0,1,1,1.0
178,2338,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
179,4245,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
180,1053,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
181,3208,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
182,2992,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
183,5643,1,1.0,1.0,1.0,1,0.4117647058823529,0,1,0.773109243697479
184,631,1,1.0,1.0,1.0,1,0.6153846153846154,1,1,0.945054945054945
185,375,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
186,2660,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
187,4522,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
188,4456,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
189,2309,1,1.0,1.0,1.0,1,0.2941176470588235,0,1,0.7563025210084033
190,3838,1,1.0,1.0,0.18181818181818177,1,1.0,0,1,0.7402597402597403
191,3694,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
192,5448,1,1.0,1.0,1.0,1,0.4285714285714286,1,1,0.9183673469387755
193,3867,1,1.0,1.0,1.0,0,0.0,1,1,0.7142857142857143
195,2790,1,1.0,1.0,0.0,1,1.0,0,1,0.7142857142857143
196,2513,1,1.0,1.0,1.0,1,0.368421052631579,0,1,0.7669172932330827
197,4081,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
198,731,1,1.0,1.0,1.0,1,0.5789473684210527,0,1,0.7969924812030076
199,2561,1,1.0,1.0,1.0,1,0.4375,1,1,0.9196428571428571
200,4122,1,1.0,1.0,1.0,1,1.0,1,1,1.0
