,247_index,school,year,playerName,highSchool,city,state,position,height,weight,compRating,compStars,nationalRank,positionRank,stateRank,247Rating,247Stars,247positionRank,247stateRank,displayName,ID,247nationalRank,confidence,rivalsrivals_index,rivalsschool,rivalsyear,rivalsplayerName,rivalscity,rivalsstate,rivalshighSchool,rivalsposition,rivalsheight,rivalsweight,rivalsstars,rivalsnationalRank,rivalspositionRank,rivalsstateRank,rivalsdisplayName,rivalsID,rivalsrawSchool
312,8965,westvirginia,2005,patmcafee,Plum,Pittsburgh,PA,K,73.0,205,0.7667,2,NA,17,47,  N/A  ,2.0,N/A,N/A,Pat McAfee,patmcafee_westvirginia,,0.8131868131868132,7096,westvirginia,2005,patrickmcafee,Pittsburgh,PA,,K,73.0,205.0,2,,,,Patrick McAfee,patrickmcafee_westvirginia,
313,8996,oklahomastate,2013,ofahautau,Snow College,Ephraim,UT,DT,73.5,290,0.8074,3,217,30,5, 80  ,6.0,28,3,Ofa Hautau,ofahautau_oklahomastate,223,0.8821178821178821,23820,oregonstate,2013,sialehautau,Ephraim,UT,Snow College,DT,72.0,315.0,3,65.0,,,Siale Hautau,sialehautau_oregonstate,Oregon State
314,9147,westvirginia,2013,kevinwhite,Lackawanna C.C.,Scranton,PA,WR,76.0,210,0.8343,3,135,20,1, 84  ,6.0,19,1,Kevin White,kevinwhite_westvirginia,128,0.8051948051948052,6342,westvirginia,2015,karaunwhite,Scranton,PA,Lackawanna C.C.,WR,74.0,200.0,2,,,,Ka'Raun White,karaunwhite_westvirginia,
315,9182,oklahomastate,2005,joshpinaire,Hutchinson C.C.,Hutchinson,KS,DT,77.0,290,0.8000,3,106,17,23,  N/A  ,3.0,N/A,N/A,Josh Pinaire,joshpinaire_oklahomastate,,0.8116169544740973,6899,kansasstate,2005,williewilliams,Hutchinson,KS,Hutchinson C.C.,DT,76.0,303.0,4,,,,Willie Williams,williewilliams_kansasstate,
316,9267,oklahoma,2019,josephweté,Gonzaga,Washington,DC,WDE,76.0,220,0.9187,4,198,11,1, 90  ,8.0,21,1,Joseph Weté,josephweté_oklahoma,,0.8428571428571429,10311,oklahoma,2019,josephwete,Washington,DC,Gonzaga,DE,75.0,210.0,4,,12.0,2.0,Joseph Wete,josephwete_oklahoma,
317,9358,kansas,2010,rickiherod,North Mesquite,Mesquite,TX,WR,74.0,183,0.8733,3,519,73,81,  N/A  ,3.0,N/A,N/A,Ricki Herod,rickiherod_kansas,,0.9761904761904763,9529,kansas,2010,rickiherodjr,Mesquite,TX,North Mesquite,WR,73.75,175.0,3,,56.0,70.0,Ricki Herod Jr.,rickiherodjr_kansas,
318,9401,tcu,2013,cydcalvin,Centennial,Frisco,TX,CB,72.0,170,0.8381,3,NA,81,162, 87  ,6.0,55,102,Cyd Calvin,cydcalvin_tcu,,0.8214285714285714,6206,tcu,2013,cydneycalvin,Frisco,TX,Centennial,DB,73.0,175.0,3,,,,Cydney Calvin,cydneycalvin_tcu,
319,9431,kansasstate,2009,emmanuellamur,Independence C.C.,Independence,KS,S,76.0,214,0.8000,3,161,19,28,  N/A  ,3.0,N/A,N/A,Emmanuel Lamur,emmanuellamur_kansasstate,,0.8461538461538461,7855,kansasstate,2009,emmanuallamur,Independence,KS,Independence C.C.,DB,76.0,214.0,3,,,,Emmanual Lamur,emmanuallamur_kansasstate,
320,9480,iowastate,2020,willissingleton,Warren Township,Gurnee,IL,DT,74.0,301,0.8598,3,847,74,17, 89  ,6.0,31,6,Willis Singleton,willissingleton_iowastate,,0.9831932773109244,8830,iowastate,2020,willissingletonjr,Gurnee,IL,Warren Township,DT,74.0,285.0,3,,,26.0,Willis Singleton Jr.,willissingletonjr_iowastate,
321,9487,iowastate,2020,samrengert,Fairbanks,Milford Center,OH,OT,79.0,300,0.8477,3,NA,94,48, 86  ,6.0,82,33,Sam Rengert,samrengert_iowastate,,0.8241758241758241,8748,iowastate,2020,samuelrengert,Milford Center,OH,Fairbanks,OL,79.0,285.0,3,,,43.0,Samuel Rengert,samuelrengert_iowastate,
